iter	Logloss
0	0.6308590758
1	0.5762634113
2	0.5322268733
3	0.492411424
4	0.4595548909
5	0.4309294901
6	0.4023463833
7	0.3727985386
8	0.3535481818
9	0.3317484699
10	0.3143006944
11	0.3001661757
12	0.2876656281
13	0.2754522486
14	0.2666490959
15	0.2557327451
16	0.2472752337
17	0.2403304292
18	0.2318903585
19	0.2261345659
20	0.2186979548
21	0.2143642712
22	0.2091153014
23	0.2050294958
24	0.2010274683
25	0.1980127525
26	0.1921757141
27	0.1893984547
28	0.1864283579
29	0.1836580913
30	0.1814295496
31	0.1794060785
32	0.1754761418
33	0.1732793198
34	0.1710691862
35	0.1657929063
36	0.1641822626
37	0.159932672
38	0.1569684401
39	0.1530034678
40	0.1495666123
41	0.1467904545
42	0.1447660866
43	0.1432821535
44	0.1421760952
45	0.1350729342
46	0.1296808369
47	0.1275658881
48	0.1262748629
49	0.1234453755
50	0.1222784177
51	0.1192300398
52	0.1158882814
53	0.1130522119
54	0.1113717141
55	0.1097810042
56	0.1091215066
57	0.1075992957
58	0.1058056691
59	0.1052429466
60	0.1043732105
61	0.1030557445
62	0.1022646254
63	0.101544513
64	0.1010833926
65	0.09994263341
66	0.09943996061
67	0.09814695109
68	0.09746012287
69	0.09711788178
70	0.09658757742
71	0.09613900524
72	0.09516750072
73	0.09364952167
74	0.09328908822
75	0.09263266282
76	0.09128915002
77	0.09036428922
78	0.08966718387
79	0.08853775123
80	0.08787027928
81	0.08747580601
82	0.0857742596
83	0.08549085109
84	0.08492394287
85	0.08462042414
86	0.08377488581
87	0.08313712274
88	0.08150063752
89	0.08108664525
90	0.08039194417
91	0.07948699909
92	0.07916320203
93	0.07782379241
94	0.07716789837
95	0.076089716
96	0.07439700038
97	0.07404871201
98	0.07375828016
99	0.07344178115
100	0.07129353648
101	0.07006922625
102	0.06935158721
103	0.06812293256
104	0.06645307424
105	0.06628264025
106	0.06562435803
107	0.06517631161
108	0.06463861885
109	0.06349318548
110	0.06298703817
111	0.06190532004
112	0.06107068309
113	0.06090108287
114	0.06020075705
115	0.05864124528
116	0.05744999006
117	0.05723943232
118	0.05706028392
119	0.05689281918
120	0.05672464817
121	0.05614319916
122	0.0559629612
123	0.05571160735
124	0.05406471186
125	0.0531623199
126	0.05212817952
127	0.05196749788
128	0.05120384125
129	0.05094579486
130	0.05043123229
131	0.05013395533
132	0.05002731408
133	0.04974935943
134	0.04953161988
135	0.04937696298
136	0.04923514683
137	0.04861899484
138	0.04823502653
139	0.04799181931
140	0.04773758666
141	0.04735529099
142	0.04653147176
143	0.04595313978
144	0.04580883935
145	0.04567290101
146	0.0455452626
147	0.04536070882
148	0.04515293362
149	0.04421017276
150	0.04392950544
151	0.04356964388
152	0.04336422316
153	0.04289385945
154	0.04262106273
155	0.04247887045
156	0.04146002606
157	0.04109903911
158	0.04091128171
159	0.04024995562
160	0.04010989543
161	0.03998895011
162	0.0398449707
163	0.03972577266
164	0.0395490827
165	0.03943503499
166	0.03927822726
167	0.03904061539
168	0.03890382771
169	0.03854040403
170	0.0382104459
171	0.03799127801
172	0.0378954288
173	0.0376596504
174	0.03755500993
175	0.03734413792
176	0.0372408076
177	0.03714422413
178	0.03699833735
179	0.03678761362
180	0.03666374412
181	0.03644291041
182	0.0361039398
183	0.0351997215
184	0.03488894242
185	0.03469268965
186	0.03418814284
187	0.03381017363
188	0.0333040246
189	0.03311153563
190	0.03258528294
191	0.03231578128
192	0.03218640646
193	0.03169042982
194	0.031560341
195	0.03126382646
196	0.03116605323
197	0.03109782584
198	0.03067391224
199	0.03053600038
200	0.03042329493
201	0.0302296456
202	0.02976476525
203	0.02968414142
204	0.02962158477
205	0.02954829139
206	0.02948593599
207	0.02931347027
208	0.02901804273
209	0.02893160882
210	0.02884776879
211	0.02877041625
212	0.02845360068
213	0.02830740497
214	0.02821599359
215	0.02815055397
216	0.02796833146
217	0.02789323807
218	0.02781388064
219	0.02775680639
220	0.02760012321
221	0.02750059828
222	0.02717154896
223	0.02710245666
224	0.02689528449
225	0.02680679109
226	0.02671774507
227	0.02662881413
228	0.02656567702
229	0.02639682651
230	0.0262998606
231	0.02624074843
232	0.02618057892
233	0.02613366941
234	0.02575791164
235	0.0254749149
236	0.02541677329
237	0.02534253917
238	0.02531097011
239	0.02518221555
240	0.02514016833
241	0.02504026363
242	0.02497621805
243	0.02472337764
244	0.02467922832
245	0.02462466856
246	0.02453126739
247	0.02447182599
248	0.02443194126
249	0.02436103404
250	0.02424032451
251	0.02418929241
252	0.0240659273
253	0.0240113171
254	0.0239054838
255	0.02376494292
256	0.02363880783
257	0.02357832192
258	0.02348126961
259	0.02338856699
260	0.0230278441
261	0.02297394864
262	0.02275096099
263	0.02241849117
264	0.02237690978
265	0.02229533763
266	0.0222554111
267	0.02212046638
268	0.02206657489
269	0.02201640391
270	0.02192554451
271	0.02184530775
272	0.02180409703
273	0.02163982573
274	0.02160430237
275	0.02154156195
276	0.02149862488
277	0.02146428382
278	0.02131208861
279	0.02103806386
280	0.02095412447
281	0.02082311735
282	0.02074392669
283	0.02067186192
284	0.02061418574
285	0.0205805185
286	0.02041905737
287	0.02037998139
288	0.02018762443
289	0.02014882078
290	0.02009692112
291	0.02004471194
292	0.01999808124
293	0.01979813932
294	0.01958778942
295	0.01943614237
296	0.01938484641
297	0.0193296676
298	0.01928754693
299	0.01918914761
300	0.01909966555
301	0.01902106599
302	0.01894855951
303	0.01890280053
304	0.01886141359
305	0.01882870052
306	0.01876572493
307	0.01871300222
308	0.01867348576
309	0.0186492803
310	0.01861696645
311	0.01856594014
312	0.01851336669
313	0.01848273035
314	0.0184003826
315	0.01835936855
316	0.01820666149
317	0.01801704032
318	0.01796115681
319	0.01778976674
320	0.01763283052
321	0.01758680922
322	0.01751797823
323	0.01748639379
324	0.0174359682
325	0.01740502949
326	0.01733682278
327	0.01729504279
328	0.01726471942
329	0.0172057151
330	0.01717421796
331	0.01714393757
332	0.01704200434
333	0.01701683037
334	0.01698325497
335	0.01693810576
336	0.01685675571
337	0.01682086477
338	0.01677751066
339	0.01674567258
340	0.01671809773
341	0.01667959979
342	0.01662382138
343	0.01655872676
344	0.01651670942
345	0.01645926592
346	0.01638403195
347	0.01631304777
348	0.01626452335
349	0.01624994555
350	0.01621246449
351	0.0161699859
352	0.01608706649
353	0.01607272827
354	0.01603394771
355	0.01595231335
356	0.0158791792
357	0.01583899908
358	0.01578611432
359	0.01573706768
360	0.01565830094
361	0.01558207695
362	0.01554928402
363	0.01546377168
364	0.01543227672
365	0.01538836803
366	0.01534082787
367	0.01531650808
368	0.01528543463
369	0.015220168
370	0.01516454473
371	0.01508966115
372	0.01506155791
373	0.01501673359
374	0.01498998728
375	0.01492033487
376	0.01490159158
377	0.01484042561
378	0.01479830578
379	0.01476484228
380	0.01472714714
381	0.01466681361
382	0.01458354842
383	0.01456171858
384	0.01446805534
385	0.01434287164
386	0.01427996086
387	0.01422857317
388	0.01421166633
389	0.01415823271
390	0.01411819064
391	0.01403636388
392	0.01396679044
393	0.01392239514
394	0.01390666215
395	0.01389677272
396	0.01387318688
397	0.01384416214
398	0.01381926169
399	0.01372603542
400	0.01370851172
401	0.01361011106
402	0.013592959
403	0.01356089519
404	0.01346696371
405	0.01337424732
406	0.01334029874
407	0.01331689448
408	0.01324446748
409	0.01318526324
410	0.0131655879
411	0.01310663315
412	0.0129978335
413	0.01294185745
414	0.01293305746
415	0.01290246758
416	0.01288148975
417	0.01285857863
418	0.01284690195
419	0.0128067341
420	0.01277685563
421	0.01274901777
422	0.01273031243
423	0.01270959868
424	0.0126680065
425	0.01264768272
426	0.01262647717
427	0.0125346731
428	0.01247116635
429	0.01239969837
430	0.01236696137
431	0.01233827725
432	0.01228277263
433	0.01222181737
434	0.01215133735
435	0.01212769394
436	0.01211295024
437	0.01208699495
438	0.01204905711
439	0.01203131193
440	0.01197067811
441	0.01194707894
442	0.01193232634
443	0.01187323303
444	0.01185436805
445	0.01183118109
446	0.01178611396
447	0.01176372786
448	0.01174376794
449	0.01172935559
450	0.01172291225
451	0.01164116192
452	0.01161951011
453	0.01160715196
454	0.0115473311
455	0.01141299767
456	0.01139673562
457	0.01137974322
458	0.0113650027
459	0.01135080261
460	0.0113084371
461	0.01129090243
462	0.01124221768
463	0.01121360696
464	0.01118047452
465	0.01116264898
466	0.0111069719
467	0.01107770397
468	0.0110489094
469	0.01104003365
470	0.01100132242
471	0.01097250787
472	0.01094305192
473	0.01087595416
474	0.01082334135
475	0.01080401161
476	0.0107840081
477	0.01076246702
478	0.01070842252
479	0.01067318487
480	0.01065406148
481	0.01061907321
482	0.01060065348
483	0.01058385847
484	0.01057134149
485	0.01055384576
486	0.01051804744
487	0.01050042518
488	0.01046716624
489	0.01045826681
490	0.01045335567
491	0.0104220869
492	0.01040953235
493	0.01038759376
494	0.01037301692
495	0.01031121198
496	0.01025029989
497	0.01023704405
498	0.01019098666
499	0.01017508102
